x,y,z
11.98,63.96,-191.6242096
22.75,32.23,-29.01706219
81.17,14.06,278.2602361
28.96,24.99,25.29014422
26.5,8.02,82.09118986
39.56,76.14,-122.3883067
35.12,65.7,-104.7828323
59.88,47.35,66.92359078
20.53,87.31,-245.0302934
16.44,82.48,-242.5024046
16.14,98.54,-302.531212
15.05,65.06,-182.5867401
97.96,49.41,215.025302
40.94,12.73,118.9793073
14,5.67,38.70270615
14.93,30.58,-52.34976177
42.31,97.92,-195.2369065
16.13,71.28,-199.0078394
59.03,31.3,124.0071961
36.29,55.24,-58.88060925
95,84.11,69.32470189
71.51,65.68,45.82666801
99.07,67.47,148.227387
82.07,4.74,317.7429065
29.85,36.72,-11.43747579
